path,label,domain,record_id,split
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0068.npy,1,source,fan__source_test__section_00_source_test_anomaly_0068,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0069.npy,1,source,fan__source_test__section_00_source_test_anomaly_0069,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0070.npy,1,source,fan__source_test__section_00_source_test_anomaly_0070,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0073.npy,1,source,fan__source_test__section_00_source_test_anomaly_0073,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0074.npy,1,source,fan__source_test__section_00_source_test_anomaly_0074,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0075.npy,1,source,fan__source_test__section_00_source_test_anomaly_0075,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0076.npy,1,source,fan__source_test__section_00_source_test_anomaly_0076,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0077.npy,1,source,fan__source_test__section_00_source_test_anomaly_0077,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0078.npy,1,source,fan__source_test__section_00_source_test_anomaly_0078,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0079.npy,1,source,fan__source_test__section_00_source_test_anomaly_0079,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0081.npy,1,source,fan__source_test__section_00_source_test_anomaly_0081,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0082.npy,1,source,fan__source_test__section_00_source_test_anomaly_0082,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0083.npy,1,source,fan__source_test__section_00_source_test_anomaly_0083,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0084.npy,1,source,fan__source_test__section_00_source_test_anomaly_0084,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0085.npy,1,source,fan__source_test__section_00_source_test_anomaly_0085,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0086.npy,1,source,fan__source_test__section_00_source_test_anomaly_0086,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0087.npy,1,source,fan__source_test__section_00_source_test_anomaly_0087,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0088.npy,1,source,fan__source_test__section_00_source_test_anomaly_0088,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0089.npy,1,source,fan__source_test__section_00_source_test_anomaly_0089,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0090.npy,1,source,fan__source_test__section_00_source_test_anomaly_0090,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0091.npy,1,source,fan__source_test__section_00_source_test_anomaly_0091,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0092.npy,1,source,fan__source_test__section_00_source_test_anomaly_0092,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0093.npy,1,source,fan__source_test__section_00_source_test_anomaly_0093,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0094.npy,1,source,fan__source_test__section_00_source_test_anomaly_0094,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0098.npy,1,source,fan__source_test__section_00_source_test_anomaly_0098,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0099.npy,1,source,fan__source_test__section_00_source_test_anomaly_0099,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0000.npy,0,source,fan__source_test__section_00_source_test_normal_0000,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0003.npy,0,source,fan__source_test__section_00_source_test_normal_0003,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0004.npy,0,source,fan__source_test__section_00_source_test_normal_0004,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0005.npy,0,source,fan__source_test__section_00_source_test_normal_0005,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0006.npy,0,source,fan__source_test__section_00_source_test_normal_0006,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0007.npy,0,source,fan__source_test__section_00_source_test_normal_0007,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0008.npy,0,source,fan__source_test__section_00_source_test_normal_0008,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0009.npy,0,source,fan__source_test__section_00_source_test_normal_0009,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0010.npy,0,source,fan__source_test__section_00_source_test_normal_0010,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0011.npy,0,source,fan__source_test__section_00_source_test_normal_0011,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0012.npy,0,source,fan__source_test__section_00_source_test_normal_0012,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0013.npy,0,source,fan__source_test__section_00_source_test_normal_0013,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0015.npy,0,source,fan__source_test__section_00_source_test_normal_0015,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0016.npy,0,source,fan__source_test__section_00_source_test_normal_0016,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0017.npy,0,source,fan__source_test__section_00_source_test_normal_0017,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0018.npy,0,source,fan__source_test__section_00_source_test_normal_0018,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0019.npy,0,source,fan__source_test__section_00_source_test_normal_0019,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0022.npy,0,source,fan__source_test__section_00_source_test_normal_0022,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0024.npy,0,source,fan__source_test__section_00_source_test_normal_0024,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0025.npy,0,source,fan__source_test__section_00_source_test_normal_0025,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0026.npy,0,source,fan__source_test__section_00_source_test_normal_0026,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0027.npy,0,source,fan__source_test__section_00_source_test_normal_0027,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0028.npy,0,source,fan__source_test__section_00_source_test_normal_0028,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0030.npy,0,source,fan__source_test__section_00_source_test_normal_0030,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0031.npy,0,source,fan__source_test__section_00_source_test_normal_0031,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0032.npy,0,source,fan__source_test__section_00_source_test_normal_0032,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0033.npy,0,source,fan__source_test__section_00_source_test_normal_0033,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0034.npy,0,source,fan__source_test__section_00_source_test_normal_0034,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0035.npy,0,source,fan__source_test__section_00_source_test_normal_0035,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0036.npy,0,source,fan__source_test__section_00_source_test_normal_0036,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0038.npy,0,source,fan__source_test__section_00_source_test_normal_0038,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0039.npy,0,source,fan__source_test__section_00_source_test_normal_0039,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0040.npy,0,source,fan__source_test__section_00_source_test_normal_0040,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0041.npy,0,source,fan__source_test__section_00_source_test_normal_0041,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0042.npy,0,source,fan__source_test__section_00_source_test_normal_0042,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0043.npy,0,source,fan__source_test__section_00_source_test_normal_0043,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0044.npy,0,source,fan__source_test__section_00_source_test_normal_0044,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0045.npy,0,source,fan__source_test__section_00_source_test_normal_0045,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0046.npy,0,source,fan__source_test__section_00_source_test_normal_0046,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0047.npy,0,source,fan__source_test__section_00_source_test_normal_0047,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0048.npy,0,source,fan__source_test__section_00_source_test_normal_0048,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0049.npy,0,source,fan__source_test__section_00_source_test_normal_0049,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0050.npy,0,source,fan__source_test__section_00_source_test_normal_0050,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0053.npy,0,source,fan__source_test__section_00_source_test_normal_0053,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0054.npy,0,source,fan__source_test__section_00_source_test_normal_0054,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0055.npy,0,source,fan__source_test__section_00_source_test_normal_0055,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0056.npy,0,source,fan__source_test__section_00_source_test_normal_0056,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0057.npy,0,source,fan__source_test__section_00_source_test_normal_0057,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0058.npy,0,source,fan__source_test__section_00_source_test_normal_0058,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0059.npy,0,source,fan__source_test__section_00_source_test_normal_0059,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0061.npy,0,source,fan__source_test__section_00_source_test_normal_0061,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0062.npy,0,source,fan__source_test__section_00_source_test_normal_0062,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0064.npy,0,source,fan__source_test__section_00_source_test_normal_0064,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0065.npy,0,source,fan__source_test__section_00_source_test_normal_0065,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0066.npy,0,source,fan__source_test__section_00_source_test_normal_0066,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0067.npy,0,source,fan__source_test__section_00_source_test_normal_0067,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0068.npy,0,source,fan__source_test__section_00_source_test_normal_0068,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0069.npy,0,source,fan__source_test__section_00_source_test_normal_0069,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0070.npy,0,source,fan__source_test__section_00_source_test_normal_0070,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0072.npy,0,source,fan__source_test__section_00_source_test_normal_0072,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0073.npy,0,source,fan__source_test__section_00_source_test_normal_0073,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0075.npy,0,source,fan__source_test__section_00_source_test_normal_0075,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0076.npy,0,source,fan__source_test__section_00_source_test_normal_0076,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0077.npy,0,source,fan__source_test__section_00_source_test_normal_0077,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0078.npy,0,source,fan__source_test__section_00_source_test_normal_0078,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0079.npy,0,source,fan__source_test__section_00_source_test_normal_0079,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0080.npy,0,source,fan__source_test__section_00_source_test_normal_0080,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0081.npy,0,source,fan__source_test__section_00_source_test_normal_0081,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0083.npy,0,source,fan__source_test__section_00_source_test_normal_0083,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0085.npy,0,source,fan__source_test__section_00_source_test_normal_0085,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0088.npy,0,source,fan__source_test__section_00_source_test_normal_0088,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0089.npy,0,source,fan__source_test__section_00_source_test_normal_0089,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0090.npy,0,source,fan__source_test__section_00_source_test_normal_0090,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0093.npy,0,source,fan__source_test__section_00_source_test_normal_0093,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0094.npy,0,source,fan__source_test__section_00_source_test_normal_0094,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0095.npy,0,source,fan__source_test__section_00_source_test_normal_0095,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0096.npy,0,source,fan__source_test__section_00_source_test_normal_0096,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0097.npy,0,source,fan__source_test__section_00_source_test_normal_0097,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0098.npy,0,source,fan__source_test__section_00_source_test_normal_0098,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_normal_0099.npy,0,source,fan__source_test__section_00_source_test_normal_0099,train
data/raw/mimii_due/fan_section_00/signals/source/train/fan__train__section_00_source_train_normal_0000_strength_1_ambient.npy,0,source,fan__train__section_00_source_train_normal_0000_strength_1_ambient,train
data/raw/mimii_due/fan_section_00/signals/source/train/fan__train__section_00_source_train_normal_0001_strength_1_ambient.npy,0,source,fan__train__section_00_source_train_normal_0001_strength_1_ambient,train
data/raw/mimii_due/fan_section_00/signals/source/train/fan__train__section_00_source_train_normal_0002_strength_1_ambient.npy,0,source,fan__train__section_00_source_train_normal_0002_strength_1_ambient,train
data/raw/mimii_due/fan_section_00/signals/source/train/fan__train__section_00_source_train_normal_0003_strength_1_ambient.npy,0,source,fan__train__section_00_source_train_normal_0003_strength_1_ambient,train
data/raw/mimii_due/fan_section_00/signals/source/train/fan__train__section_00_source_train_normal_0004_strength_1_ambient.npy,0,source,fan__train__section_00_source_train_normal_0004_strength_1_ambient,train
data/raw/mimii_due/fan_section_00/signals/source/train/fan__train__section_00_source_train_normal_0005_strength_1_ambient.npy,0,source,fan__train__section_00_source_train_normal_0005_strength_1_ambient,train
data/raw/mimii_due/fan_section_00/signals/source/train/fan__train__section_00_source_train_normal_0006_strength_1_ambient.npy,0,source,fan__train__section_00_source_train_normal_0006_strength_1_ambient,train
data/raw/mimii_due/fan_section_00/signals/source/train/fan__train__section_00_source_train_normal_0007_strength_1_ambient.npy,0,source,fan__train__section_00_source_train_normal_0007_strength_1_ambient,train
data/raw/mimii_due/fan_section_00/signals/source/train/fan__train__section_00_source_train_normal_0008_strength_1_ambient.npy,0,source,fan__train__section_00_source_train_normal_0008_strength_1_ambient,train
data/raw/mimii_due/fan_section_00/signals/source/train/fan__train__section_00_source_train_normal_0009_strength_1_ambient.npy,0,source,fan__train__section_00_source_train_normal_0009_strength_1_ambient,train
data/raw/mimii_due/fan_section_00/signals/source/train/fan__train__section_00_source_train_normal_0010_strength_1_ambient.npy,0,source,fan__train__section_00_source_train_normal_0010_strength_1_ambient,train
data/raw/mimii_due/fan_section_00/signals/source/train/fan__train__section_00_source_train_normal_0011_strength_1_ambient.npy,0,source,fan__train__section_00_source_train_normal_0011_strength_1_ambient,train
data/raw/mimii_due/fan_section_00/signals/source/train/fan__train__section_00_source_train_normal_0012_strength_1_ambient.npy,0,source,fan__train__section_00_source_train_normal_0012_strength_1_ambient,train
data/raw/mimii_due/fan_section_00/signals/source/train/fan__train__section_00_source_train_normal_0013_strength_1_ambient.npy,0,source,fan__train__section_00_source_train_normal_0013_strength_1_ambient,train
data/raw/mimii_due/fan_section_00/signals/source/train/fan__train__section_00_source_train_normal_0014_strength_1_ambient.npy,0,source,fan__train__section_00_source_train_normal_0014_strength_1_ambient,train
data/raw/mimii_due/fan_section_00/signals/source/train/fan__train__section_00_source_train_normal_0015_strength_1_ambient.npy,0,source,fan__train__section_00_source_train_normal_0015_strength_1_ambient,train
